SppCode,GenusLatin,SpeciesLatin,CommName,CommName_Full,Matching_JSON_Entries,Diet,Weight,Sociality,Family,Order,Tribe,Activity_pattern,Sociality.1,Mass_category,Trophic_level,LMH,Hempsen_category,Hempsen_mass_kg,Hempsen_diet,Hempsen_gut_type,Hempsen_herd_size,Hempsen_water_dependence,Pansu_guild,Pansu_included,Pansu_percent_gras_RRA,Pansu_pop_niche_width,Pansu_indiv_niche_breadth,5-1_AdultBodyMass_g,5-1_AdultBodyMass_kg,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,References,16-2_LittersPerYear_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Floodplain,Floodplain.biomass,Savanna.biomass,Total.biomass,count.pct.of.total,biomass.pct.of.total,biomass.pct.of.total.noele,Floodplain.pct,Savanna.pct,Hempsen_herd_size_number,Hempsen_water_dependence_numbers,FunctionalGroup,Diet2,FunctionalGroupBG,FunctionalGroupBGTest
HEIC,Herpestes,ichneumon,Mongoose_large_grey,Large grey mongoose,341cda2b-34df-4391-a61e-ba063bbe2f9a;mammalia;carnivora;herpestidae;herpestes;ichneumon;egyptian mongoose,Omnivore,2980.02,solitary,Herpestidae,Carnivora,,crepuscular,solitary,Small,1,no,,,,,,,,0,,,,2980.02,2.98002,573.28,-999,-999,-999,-999,6,75.87,1,2.18,2.05,365,3,1.5,240,-999,-999,-999,-999,729.99,-999,6,1,58.09,800,543;1113;1297;1573;2655,-999,14429050.1,39.59,-34.83,2.37,46.9,-17.53,14.68,0,50.25,1,0.13,80.56,232.14,814.09,1505.62,,,,,,,,,,,,Carnivore,OC,Carnivore,Carnivore
LEMI,Lepus,microtis,Hare,Hare,d07fdf54-b3e5-46da-93a7-65fa5dda1055;mammalia;lagomorpha;leporidae;lepus;victoriae;african savanna hare,Herbivore,1763.61,solitary,Leporidae,Lagomorpha,,nocturnal,solitary,Small,-999,no,,,,,,,,0,,,,1763.61,1.76361,450,-999,-999,-999,-999,3,-999,-999,-999,-999,-999,1.56,-999,-999,-999,-999,95,-999,-999,-999,-999,-999,-999,-999,989;1600;2655,-999,12414839.45,29.95,-32.48,-1.26,40.84,-17.53,11.65,0,33.81,1,0.13,77.99,238.46,815.86,1529.42,,,,,,,,,,,,Other_forager,HO,Other_forager,Zother_forager
GEGE,Genetta,genetta,Genet,Genet,9e251a37-cef9-4bf9-b876-2ca1279dc613;mammalia;carnivora;viverridae;genetta;;genetta species,Omnivore,1756.17,solitary,Viverridae,Carnivora,,nocturnal,solitary,Small,1,no,,,,,,,,0,,,,1756.17,1.75617,552.44,8,-999,-999,-999,6,74.18,1,10.9,11.54,182.5,2.29,-999,408,77.75,146,1.88,-999,1262.74,-999,-999,1,71.8,-999,543;730;1113;1297;1573;2655,1.56,17766920.65,49.9,-34.83,7.53,51.41,-17.53,16.93,0,39.75,0,0.1,53.49,228.99,601.6,1450.99,,,,,,,,,,,,Carnivore,OC,Carnivore,Carnivore
BDCR,Bdeogale,crassicauda,Mongoose_bushy_tailed,Bushy-tailed mongoose,7ee8462e-c856-4ff3-89d0-13fe7a136150;mammalia;carnivora;herpestidae;bdeogale;crassicauda;bushy-tailed mongoose,Carnivore,1722.13,solitary,Herpestidae,Carnivora,,nocturnal,solitary,Small,1,no,,,,,,,,0,,,,1722.13,1.72213,444.53,-999,-999,-999,-999,1,-999,1,-999,-999,-999,0.96,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,1113;1297;2655,-999,1654322.83,-1.38,-20.63,-11.01,41.24,25.81,33.53,1,38.56,3,0.18,82.89,229.26,902.39,1521.03,,,,,,,,,,,,Carnivore,CS,Carnivore,Carnivore
MUMU,Mungos,mungo,Mongoose_banded,Banded mongoose,959d9eaf-e359-41c5-a9e5-220667e52a9b;mammalia;carnivora;herpestidae;mungos;mungo;banded mongoose,Carnivore,1260,group,Herpestidae,Carnivora,,diurnal,solitary,Small,1,no,,,,,,,,0,,,,1260,1.26,362.42,9.97,365,-999,-999,1,60.91,1,1.66,2.16,365,2.68,2.5,144,24.2,99.49,16.98,-999,349.33,-999,6,1,20.88,-999,543;730;966;1052;1113;1297;2655,-999,15894555.38,17.52,-34.21,-8.34,51.41,-17.53,16.93,0,33.16,1,0.13,78.76,238.55,827.93,1543.01,,,,,,,,,,,,Carnivore,CS,Carnivore,Carnivore
OTCR,Otolemur,crassicaudatus,Bushbaby,Bushbaby,8c3a4d44-b86e-4678-b39c-bbc13b88aecd;mammalia;primates;galagidae;otolemur;crassicaudatus;thick-tailed greater galago,Omnivore,1206.61,group,Galagidae,Primates,,nocturnal,group,Small,-999,no,,,,,,,,0,,,,1206.61,1.20661,307,-999,799.35,457.15,977,5,131.04,-999,0.06,0.07,365,1.14,-999,225.6,46.57,-999,87.99,-999,609.86,3.5,-999,-999,124.62,499.99,208;223;543;730;732;868;1297;1544;1547;1822;1848;2344;2493;2655;2660;2986,1.1,4121059.44,1.05,-30.48,-14.71,40.84,18.27,29.55,0,34.54,2,0.18,87.09,220.22,912.84,1482.63,,,,,,,,,,,,Other_forager,OP,Other_forager,Zother_forager
GASA,Galerella,sanguinea,Mongoose_slender,Slender mongoose,3ac589d6-a591-41f0-adc7-37bde833fb11;mammalia;carnivora;herpestidae;herpestes;sanguineus;common slender mongoose,Omnivore,543.83,solitary,Herpestidae,Carnivora,,diurnal,solitary,Small,1,no,,,,,,,,0,,,,543.83,0.54383,329.01,20,-999,372.6,490,6,61.27,1,0.66,0.79,182.5,2.5,2,72,-999,-999,1.32,-999,465.57,-999,-999,1,54.44,-999,367;543;730;1113;1297;1822;2655,-999,16368169.48,18.8,-32.93,-7.06,51.41,-17.53,16.93,0,33.39,1,0.13,84.92,233.27,878.9,1533.83,,,,,,,,,,,,Carnivore,CS,Carnivore,Carnivore
HEPA,Helogale ,parvula,Mongoose_dwarf,Dwarf mongoose,3e8412c2-8b79-4116-8cb1-a0ca3a8f856c;mammalia;carnivora;herpestidae;helogale;parvula;common dwarf mongoose,Carnivore,281.83,group,Herpestidae,Carnivora,,diurnal,group,Small,1,no,,,,,,,,0,,,,281.83,0.28183,201.59,-999,-999,-999,-999,1,54.08,1,0.21,0.28,141.94,3.49,2.25,131,-999,-999,-999,-999,423.04,-999,6,1,21,-999,543;966;1052;1113;1297;2655,-999,6944753.53,14.25,-28.34,-7.04,51.41,12.05,31.73,0,30.49,1,0.15,71.37,222.44,797.78,1512.3,,,,,,,,,,,,Carnivore,CS,Carnivore,Carnivore
,Bucorvus,leadbeateri,Ground_hornbill,Ground hornbill,e8082989-aa2f-4aa6-a457-19adfd77fabc;aves;bucerotiformes;bucerotidae;bucorvus;leadbeateri;southern ground-hornbill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guttera,plumifera?,Guineafowl_crested,Crested guineafowl,d4817787-1c5b-4dfe-9251-03c759845951;aves;galliformes;numididae;guttera;pucherani;pintade huppée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Numida,meleagris,Guineafowl_helmeted,Helmeted guineafowl ,83133617-8358-4910-82ee-4c23e40ba3dc;aves;galliformes;numididae;numida;meleagris;helmeted guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rodent,Rodent,2a0223ce-bf36-4acd-996a-20ecdaa472ac;mammalia;rodentia;hystricidae;hystrix;;hystrix species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bird_other,general (song)birds,0b62f436-aced-4b92-ad12-4700b7185c79;aves;passeriformes;;;;passeriformes order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Duiker,Unidentified duiker,3e34492e-b6d2-4db9-925d-301beb639cad;mammalia;cetartiodactyla;bovidae;cephalophus;;cephalophus species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reptile,Reptile,739a105e-d883-4ff8-9282-7ec44018e6a0;reptilia;;;;;reptile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mongoose,Unidentified mongoose,Mongoose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Antelope,Unidentified antelope,a27d3983-76a1-4d2d-b080-18747cd77dcb;mammalia;artiodactyla;;;;even-toed ungulate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Guineafowl,Unidentified guineafowl,30015f2a-5598-461d-bc33-1eb2cef56f1a;aves;galliformes;numididae;;;guineafowl family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
