site,Directory,FileName,DateTimeOriginal,DateTimeCorrected,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12,G12/G12_R1/105EK113,12290542.JPG,12/29/18 12:25,12/29/18 12:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290543.JPG,12/29/18 12:25,12/29/18 12:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290544.JPG,12/29/18 12:25,12/29/18 12:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290545.JPG,12/29/18 12:25,12/29/18 12:25,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290546.JPG,12/29/18 12:26,12/29/18 12:26,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290547.JPG,12/29/18 12:26,12/29/18 12:26,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290548.JPG,12/29/18 12:27,12/29/18 12:27,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290549.JPG,12/29/18 12:27,12/29/18 12:27,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290550.JPG,12/29/18 12:27,12/29/18 12:27,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290551.JPG,12/29/18 12:27,12/29/18 12:27,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290552.JPG,12/29/18 12:28,12/29/18 12:28,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290553.JPG,12/29/18 12:28,12/29/18 12:28,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290554.JPG,12/29/18 12:29,12/29/18 12:29,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290555.JPG,12/29/18 12:29,12/29/18 12:29,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290556.JPG,12/29/18 12:30,12/29/18 12:30,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290557.JPG,12/29/18 12:30,12/29/18 12:30,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290558.JPG,12/29/18 12:30,12/29/18 12:30,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290559.JPG,12/29/18 12:30,12/29/18 12:30,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290560.JPG,12/29/18 12:31,12/29/18 12:31,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290561.JPG,12/29/18 12:31,12/29/18 12:31,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290562.JPG,12/29/18 12:32,12/29/18 12:32,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290563.JPG,12/29/18 12:32,12/29/18 12:32,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290564.JPG,12/29/18 12:32,12/29/18 12:32,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290565.JPG,12/29/18 12:32,12/29/18 12:32,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290566.JPG,12/29/18 12:33,12/29/18 12:33,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290567.JPG,12/29/18 12:33,12/29/18 12:33,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290568.JPG,12/29/18 12:34,12/29/18 12:34,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290569.JPG,12/29/18 12:34,12/29/18 12:34,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290570.JPG,12/29/18 12:34,12/29/18 12:34,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290571.JPG,12/29/18 12:34,12/29/18 12:34,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290572.JPG,12/29/18 12:35,12/29/18 12:35,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290573.JPG,12/29/18 12:35,12/29/18 12:35,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290574.JPG,12/29/18 12:36,12/29/18 12:36,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290575.JPG,12/29/18 12:36,12/29/18 12:36,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290576.JPG,12/29/18 12:36,12/29/18 12:36,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290577.JPG,12/29/18 12:36,12/29/18 12:36,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290578.JPG,12/29/18 12:37,12/29/18 12:37,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290579.JPG,12/29/18 12:37,12/29/18 12:37,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290580.JPG,12/29/18 12:37,12/29/18 12:37,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290581.JPG,12/29/18 12:37,12/29/18 12:37,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290582.JPG,12/29/18 12:38,12/29/18 12:38,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290583.JPG,12/29/18 12:38,12/29/18 12:38,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290584.JPG,12/29/18 12:39,12/29/18 12:39,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290585.JPG,12/29/18 12:39,12/29/18 12:39,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290586.JPG,12/29/18 12:39,12/29/18 12:39,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290587.JPG,12/29/18 12:39,12/29/18 12:39,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290588.JPG,12/29/18 12:40,12/29/18 12:40,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290589.JPG,12/29/18 12:40,12/29/18 12:40,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290590.JPG,12/29/18 12:40,12/29/18 12:40,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290591.JPG,12/29/18 12:40,12/29/18 12:40,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290592.JPG,12/29/18 12:41,12/29/18 12:41,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290593.JPG,12/29/18 12:41,12/29/18 12:41,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290594.JPG,12/29/18 12:42,12/29/18 12:42,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290595.JPG,12/29/18 12:42,12/29/18 12:42,nothing there,,,,,,,,
