Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/10/18 9:01,05100065.JPG,warthog,2,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/10/18 9:01,05100066.JPG,warthog,2,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/10/18 11:52,05100067.JPG,impala,2,0,0,0,0,1,0,1
D07/D07_R1/100EK113,5/10/18 11:52,05100068.JPG,impala,1,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/10/18 11:53,05100069.JPG,impala,1,0,0,0,0,1,0,1
D07/D07_R1/100EK113,5/10/18 11:53,05100070.JPG,impala,1,0,0,0,0,1,0,1
D07/D07_R1/100EK113,5/10/18 11:53,05100071.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/10/18 11:53,05100072.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/11/18 16:30,05110073.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/11/18 16:30,05110074.JPG,waterbuck,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 1:21,05120075.JPG,bushbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 1:21,05120076.JPG,bushbuck,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 9:22,05120077.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 9:22,05120078.JPG,impala,2,0,1,0,0,1,0,2
D07/D07_R1/100EK113,5/12/18 10:41,05120079.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 10:41,05120080.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 14:32,05120081.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 14:32,05120082.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 15:02,05120083.JPG,nyala,1,0,1,0,0,1,0,0
